molecule_chembl_id,canonical_smiles,median_ic50_nM,n_measurements
CHEMBL2386748,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4F)c3c2s1,0.94,4
CHEMBL2386764,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C)cc4)c3c2s1,0.98,4
CHEMBL2386746,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Cl)c3c2s1,0.99,1
CHEMBL3971170,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4F)c3c2s1,0.99,3
CHEMBL5570127,c1ccc(CNc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)nc1,0.995,2
CHEMBL6036161,CC(C)N1CCC(n2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)cn2)CC1,1.0,1
CHEMBL5975278,CC(C)Nc1cncc(-c2ccc3cnc(NC(=O)C4CCN(C)CC4)cc3c2)n1,1.0,1
CHEMBL5428651,O=C1NC(N[C@H]2C3CC4CC2C[C@](O)(C4)C3)=N/C1=C\c1ccc2ncsc2c1,1.0,1
CHEMBL5092882,Nc1cc(-c2ccc3ncsc3c2)cc(N)n1,1.0,1
CHEMBL5418722,O=C1NC(NC23CC4CC(CC(NC(=O)C5CC5)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,1.0,1
CHEMBL5409730,CCOC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,1.0,1
CHEMBL5422654,CC(=O)NC12CC3CC(C1)CC(NC1=N/C(=C\c4ccc5ncsc5c4)C(=O)N1)(C3)C2,1.0,1
CHEMBL4079572,Nc1nccc(-c2c[nH]c3cnccc23)n1,1.0,1
CHEMBL5400230,O=C1NC(NC23CC4CC(CC2C4)C3)=N/C1=C\c1ccc2ncsc2c1,1.0,1
CHEMBL5438293,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncoc2c1,1.0,1
CHEMBL5409574,CS(=O)(=O)NC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,1.0,1
CHEMBL5422486,O=C1NC(NC23CC4(F)CC(F)(CC(F)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,1.0,1
CHEMBL5073869,Cc1oc2ccc(-c3cc(N)nc(N)c3)cc2c1C,1.0,1
CHEMBL4084955,c1cc(-c2c[nH]c3cnccc23)ccn1,1.0,1
CHEMBL6148047,COc1nc(NC2CCN(C(C)=O)CC2F)nn2ccc(-c3ccc4nnn(CC(F)F)c4c3)c12,1.0,1
CHEMBL6146477,O=c1[nH]c2ccc(-c3cncc(NCc4ccccc4)n3)cc2[nH]1,1.0,1
CHEMBL4754606,Cc1ccc(NC(=O)c2n[nH]c3ccc(-c4cncc(CN5CCCCC5)c4)cc23)cn1,1.0,1
CHEMBL4796085,CN1CCC(n2cc(NC(=O)c3n[nH]c4ccc(-c5cnn(C)c5)cc34)cn2)CC1,1.0,1
CHEMBL2386762,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4)c3c2s1,1.13,2
CHEMBL5567190,C[C@@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1cccc(Cl)c1,1.144,2
CHEMBL5091238,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,1.2,3
CHEMBL5592190,O=C(O)[C@@H]1CCCN(c2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)C1,1.4375,2
CHEMBL5563031,COc1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1,1.5545,2
CHEMBL5203393,O=C1CCCc2[nH]c3c(Cl)cccc3c21,1.6,1
CHEMBL2386753,COC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,1.65,3
CHEMBL5563105,c1cnc2[nH]cc(-c3ccc4ncnc(NCc5ccncc5)c4c3)c2c1,1.66,2
CHEMBL5570718,c1cnc2[nH]cc(-c3ccc4ncnc(NC5CCOCC5)c4c3)c2c1,1.665,2
CHEMBL2386763,COC(=N)c1nc2ccc3ncnc(Nc4ccccc4)c3c2s1,1.81,2
CHEMBL6150728,Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1-c1ccccc1,2.0,1
CHEMBL5412900,CC1(C)C2CCC1(C)[C@H](NC1=N/C(=C\c3ccc4ncsc4c3)C(=O)N1)C2,2.0,1
CHEMBL5416470,C[C@@H]1[C@H]2C[C@@H](C[C@H]1NC1=N/C(=C\c3ccc4ncsc4c3)C(=O)N1)C2(C)C,2.0,1
CHEMBL5408531,Cn1cc2cc(/C=C3\N=C(NC45CC6CC(CC(C6)C4)C5)NC3=O)ccc2n1,2.0,1
CHEMBL5396550,O=C1NC(NC2CCCCC(F)(F)C2)=N/C1=C\c1ccc2ncsc2c1,2.0,1
CHEMBL5081583,Nc1cc(-c2ccn3nccc3n2)cc(N)n1,2.0,1
CHEMBL6151394,Cc1nc(Nc2ccccc2)c2c(-c3cc(N)nc(N)c3)c[nH]c2n1,2.0,1
CHEMBL5420724,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2c(c1)OCO2,2.0,1
CHEMBL5404416,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2[nH]cnc2c1,2.0,1
CHEMBL4784318,CN1CCN(c2cc(C(=O)Nc3cc4cc(-c5cnn(C)c5)ccc4cn3)ccn2)CC1,2.0,3
CHEMBL4294976,CCOc1ccccc1CNc1nc(C)nc2[nH]cc(-c3ccnc(N)c3)c12,2.1,1
CHEMBL5570714,COc1ccc(Nc2ncnc3ccc(-c4c[nH]c5nc(C)ccc45)cc23)c(F)c1,2.13,1
CHEMBL5572904,COc1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1F,2.2345,2
CHEMBL5565398,Fc1ccc(Nc2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1F,2.3995,2
CHEMBL5438158,O=C1NC(NC23CC4CC(CC(F)(C4)C2)C3)=N/C1=C\c1ccc2ncsc2c1,2.5,2
CHEMBL5426285,COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,2.7,4
CHEMBL3915647,COC(=N)c1nc2ccc3ncnc(Nc4cc(Br)c5c(c4)OCO5)c3c2s1,2.76,1
CHEMBL5426735,CC(C)C[C@H](CF)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,3.0,1
CHEMBL5414514,O=C1NC(N[C@@H]2CCCCC[C@@H]2O)=N/C1=C\c1ccc2ncsc2c1,3.0,1
CHEMBL3102952,Oc1ccc(-c2c[nH]c3ncc(-c4ccc(O)c(O)c4)cc23)cc1,3.0,1
CHEMBL4640031,C[C@@H]1CN(C(=O)Nc2cc(-c3cn([C@H]4CC[C@@](C)(O)CC4)c4cnccc34)ccn2)C[C@H](C)O1,3.0,1
CHEMBL5405233,O=C1NC(NC2CCCSC2)=N/C1=C\c1ccc2ncsc2c1,3.0,1
CHEMBL2386770,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4Br)c3c2s1,3.0,3
CHEMBL5437778,O=C1NC(N[C@@H]2CCCC[C@@H](O)C2)=N/C1=C\c1ccc2ncsc2c1,3.0,1
CHEMBL5412565,CN(C)C12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,3.0,1
CHEMBL5401116,COC(=O)[C@@H](NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1)C(C)O,3.0,1
CHEMBL5401675,O=C1NC(N[C@@H]2CCCC[C@H](O)C2)=N/C1=C\c1ccc2ncsc2c1,3.0,1
CHEMBL5567565,C[C@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,3.005,2
CHEMBL5569089,C[C@@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccc(F)cc1,3.005,2
CHEMBL4568087,Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,3.2,1
CHEMBL5285332,Cn1cc(-c2ccc3cnc(NC(=O)C4CCN(S(C)(=O)=O)CC4)cc3c2)cn1,3.25,2
CHEMBL5412105,CC(C)C[C@H](CO)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,3.3,2
CHEMBL5081787,O=C1N=C(Nc2c(Cl)cccc2Cl)S/C1=C\c1ccc2nccnc2c1,3.6,2
CHEMBL5571203,O=C(O)[C@H]1CCCN(c2ncnc3ccc(-c4c[nH]c5ncccc45)cc23)C1,3.6505,2
CHEMBL2386766,COC(=N)c1nc2ccc3ncnc(Nc4ccc(C#N)cc4)c3c2s1,3.89,2
CHEMBL5438412,CC(C)C[C@@H](CF)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,4.0,1
CHEMBL4285678,C[C@]12O[C@H]([C@H](O)[C@H](O)[C@H]1O)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4=O,4.0,1
CHEMBL5439392,COC[C@H](NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1)c1ccccc1,4.0,1
CHEMBL5396386,CC(C)C[C@H](COC1CC1)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,4.0,1
CHEMBL4284240,COc1ccc2c(c1)CC(n1c(C)nc3ccc(-c4cc(N)nc(N)c4)nc31)C2,4.0,1
CHEMBL5434921,O=C1NC(NC2CC23CCCCC3)=N/C1=C\c1ccc2ncsc2c1,4.0,1
CHEMBL3905538,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)c(O)c4)c3c2s1,4.25,1
CHEMBL3983413,COC(=N)c1nc2ccc3ncnc(Nc4ccc5nc[nH]c5c4)c3c2s1,4.44,1
CHEMBL4647659,CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC[C@@H](C(=O)O)C3)n2)c1,4.5,3
CHEMBL6145880,Cl.NCC(Nc1nccc(-c2n[nH]c3nc(NC4CCC(N)CC4)ncc23)n1)c1cccc(Cl)c1,4.6,1
CHEMBL4282315,COc1cc2[nH]c(=O)c(C(=O)Nc3cc(C(=O)NC(CCN)c4ccsc4)ccc3Cl)cc2cn1.Cl,4.6,1
CHEMBL2386749,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c([N+](=O)[O-])c4)c3c2s1,4.91,2
CHEMBL5396991,O=C1NC(NC2CCCCC2(F)F)=N/C1=C\c1ccc2ncsc2c1,5.0,1
CHEMBL4288045,COCCc1cc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4ccccc4)ccc3Cl)c(=O)[nH]c2cc1OC,5.0,1
CHEMBL5430192,O=C1NC(NC2CCCCCCC2)=N/C1=C\c1ccc2ncsc2c1,5.0,1
CHEMBL5429783,O=C1NC(N[C@H](CO)c2ccccc2)=N/C1=C\c1ccc2ncsc2c1,5.0,1
CHEMBL5412101,CC(=O)OC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,5.0,1
CHEMBL495696,N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,5.0,1
CHEMBL5428750,COC[C@@H](CC(C)C)NC1=N/C(=C\c2ccc3c(c2)OCO3)C(=O)N1,5.0,1
CHEMBL3094437,NCCC(NC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(N4CC5CCC(C4)O5)nc3[nH]c2=O)c1)c1ccccc1,5.0,1
CHEMBL4856089,Oc1ccc(-c2cnc3[nH]nc(-c4ccc(O)cc4)c3c2)cc1,5.0,1
CHEMBL5438728,Cl.Cl.NCC(NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1)c1ccccc1,5.0,1
CHEMBL5429404,O=C1NC(N[C@H]2c3ccccc3C[C@@H]2O)=N/C1=C\c1ccc2ncsc2c1,5.0,1
CHEMBL6152836,COCC(CC(C)C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1C,5.0,1
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.02,9
CHEMBL2386760,COC(=O)c1nc2ccc3ncnc(Nc4ccc(Cl)cc4Cl)c3c2s1,5.1,2
CHEMBL4284572,Cl.NCC(Nc1nccc(-c2n[nH]c3nc(NCCN4CCOCC4)ncc23)n1)c1ccccc1,5.9,1
CHEMBL6133976,NC1CCC(Nc2ncc3c(-c4ccnc(NCc5ccccc5)n4)n[nH]c3n2)CC1,6.0,1
CHEMBL6141587,Cc1c(O)cccc1-c1ccc2nc(NC(=O)C3CC3F)sc2c1,6.0,1
CHEMBL5417207,O=C1NC(NC2C3CC4CC(C3)CC2C4)=N/C1=C\c1ccc2ncsc2c1,6.0,1
CHEMBL4286467,COc1cc2[nH]c(=O)c(C(=O)Nc3cc(C(=O)NCc4cccc(Cl)c4)ccc3C)cc2cc1CCCN1CCOCC1,6.0,1
CHEMBL5186778,CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCCC(C(=O)O)C3)n2)c1,6.0,3
CHEMBL3589662,O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12,6.0,6
CHEMBL3094434,CN1CCN(CCCNc2ncc3cc(C(=O)Nc4cc(C(=O)NC(CCN)c5ccccc5)ccc4Cl)c(=O)[nH]c3n2)CC1,6.0,1
CHEMBL5430415,O=C1NC(NCc2ccccc2C(F)(F)F)=N/C1=C\c1ccc2ncsc2c1,6.0,1
CHEMBL2386754,CCOC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,6.02,2
CHEMBL2386765,COC(=N)c1nc2ccc3ncnc(Nc4ccc(F)cc4)c3c2s1,6.06,2
CHEMBL4636064,CCN1CCN(C(=O)Nc2cc(-c3cn(C4CCOCC4)c4cnccc34)ccn2)CC1,6.2,1
CHEMBL5070553,Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CC(F)(F)F,6.3,4
CHEMBL4062453,CN(C)CCn1cc(-c2ccn3c(-c4ccc(C(N)=O)c(OCc5cccc(F)c5)c4)cnc3c2)cn1,6.5,1
CHEMBL4078550,CC(=O)Nc1ccc(-c2cnc3[nH]cc(-c4ccc(O)cc4)c3c2)cc1,6.6,1
CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,6.65,2
CHEMBL1230165,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,6.8,9
CHEMBL4441878,Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1C(C)C,6.9,4
CHEMBL5423402,COC(CNC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1)C1CCCCC1,7.0,1
CHEMBL5289681,CC(C)CN1CCC(C(=O)Nc2cc3cc(-c4cnn(C)c4)ccc3cn2)CC1,7.0,2
CHEMBL4646866,Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,7.0,1
CHEMBL5195216,CN1CCN(c2ccc(NC3=N/C(=C\C4=COc5ccccc5O4)C(=O)N3)cc2)CC1,7.0,1
CHEMBL5423907,COC(=O)[C@H](C)NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,7.0,1
CHEMBL5093650,Cc1nc(NCc2c(F)cccc2F)c2c(-c3ccnc(N)c3)c[nH]c2n1,7.0,3
CHEMBL5420645,Cn1cnc2ccc(/C=C3\N=C(NC45CC6CC(CC(C6)C4)C5)NC3=O)cc21,7.0,1
CHEMBL5414801,CN1CCN(c2ccc(NC3=N/C(=C\c4ccc5c(c4)OCCO5)C(=O)N3)cc2)CC1,7.0,1
CHEMBL5416274,COC(=O)[C@@H](NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1)C(C)C,7.0,1
CHEMBL5091510,Cc1nc(OCc2ccsc2)c2c(-c3ccnc(N)c3)c[nH]c2n1,7.5,2
CHEMBL1738733,O=C1N=C(Nc2ccccc2)N=C1Cc1ccc2c(c1)OCO2,7.6,1
CHEMBL6161318,O=C(NC1=Cc2ccc(O)cc2C1)Nc1ccc(NC(=O)c2ccc(O)cc2)cc1,7.8,1
CHEMBL4283751,N=C1NC(=O)/C(=C/c2ccc3c(c2)CCO3)S1,7.9,2
CHEMBL5088687,Cc1nc(NCc2ncccc2F)c2c(-c3ccnc(N)c3)c[nH]c2n1,8.0,3
CHEMBL4872136,COc1ccc(-c2n[nH]c3ncc(-c4ccc(NC(C)=O)cc4)cc23)cc1,8.0,1
CHEMBL3094454,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CN)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1,8.0,1
CHEMBL4105629,c1cc(-c2cn(CCC3CC3)c3cnccc23)ccn1,8.0,1
CHEMBL4064316,CC(C)n1cc(-c2ccncc2)c2ccncc21,8.0,1
CHEMBL3912295,COC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCCO5)c3c2s1,8.0,1
CHEMBL4747992,NC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCCC1CCN(Cc2ccc(F)cc2)CC1,8.1,1
CHEMBL2386752,COC(=N)c1nc2ccc3ncnc(Nc4ccc(O)c(F)c4)c3c2s1,8.63,2
CHEMBL5570066,OC[C@H](Nc1ncnc2ccc(-c3c[nH]c4ncccc34)cc12)c1ccccc1,8.675,2
CHEMBL3094455,COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CCN)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1,9.0,1
CHEMBL5421442,CC(C)(C)NC(=O)OC12CC3CC(CC(NC4=N/C(=C\c5ccc6ncsc6c5)C(=O)N4)(C3)C1)C2,9.0,1
CHEMBL5073598,Cc1nc(NCc2c(F)cccc2F)c2c(-c3ccnc(N)n3)c[nH]c2n1,9.0,2
CHEMBL3094436,NCCC(NC(=O)c1ccc(Cl)c(NC(=O)c2cc3cnc(N4CCC(N)CC4)nc3[nH]c2=O)c1)c1ccccc1,9.0,1
CHEMBL3094460,COc1ncc2cc(C(=O)Nc3cc(C(=O)N[C@H](CCN)c4ccccc4)ccc3Cl)c(=O)[nH]c2n1,9.0,1
CHEMBL5396280,CO[C@H]1CCC[C@H](NC2=N/C(=C\c3ccc4ncsc4c3)C(=O)N2)CC1,9.0,1
CHEMBL4873449,Oc1ccc(-c2n[nH]c3ncc(-c4ccc(O)c(O)c4)cc23)cc1,9.3,3
CHEMBL5575560,CN(CCC(=O)O)c1ncnc2ccc(-c3c[nH]c4ncccc34)cc12,9.3865,2
CHEMBL2386743,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4OC)c3c2s1,9.53,2
CHEMBL390715,COc1ccc2cc3c4c(cc(OC)c(OC)c4c2c1)C(=O)N3,9.67,1
CHEMBL4797371,O=C(NCc1ccccc1)c1cnc2[nH]cc(-c3cc(F)c4nccc(-c5cccnc5)c4c3)c2c1,10.0,1
CHEMBL6037655,CNc1cc(Nc2ccc(C(=O)N3CCN(C)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,10.0,1
CHEMBL5778374,CNc1cc(Nc2ccc(C(=O)N3CCC(N4CCOCC4)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,10.0,1
CHEMBL4795920,CNC(=O)c1cnc2[nH]cc(-c3cc(F)c4nccc(N5CCC[C@H](N)C5)c4c3)c2c1.Cl,10.0,1
CHEMBL4795783,CNC(=O)c1cnc2[nH]cc(-c3ccc4nccc(Cl)c4c3)c2c1,10.0,1
CHEMBL4795553,Fc1cc(-c2c[nH]c3ncc(CNCc4ccccc4)cc23)cc2c(-c3cccnc3)ccnc12,10.0,1
CHEMBL4795260,CNC(=O)c1cnc2[nH]cc(-c3ccc4ncc(NC(C)=O)c(N5CCOCC5)c4c3)c2c1,10.0,1
CHEMBL4795136,CC(=O)Nc1cnc2ccc(-c3c[nH]c4ncc(C(=O)NCc5cccnc5)cc34)cc2c1,10.0,1
CHEMBL4798594,C=CCN(C)C(=O)c1cnc2[nH]cc(-c3ccc4nccc(Cl)c4c3)c2c1,10.0,1
CHEMBL4798464,CNC(=O)c1cnc2[nH]cc(-c3cc(F)c4nccc(-c5cccnc5)c4c3)c2c1,10.0,1
CHEMBL4798075,c1cnc2[nH]cc(-c3ccc4nccc(-c5ccncc5)c4c3)c2c1,10.0,1
CHEMBL5896818,CCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,10.0,1
CHEMBL4796725,CNC(=O)c1cnc2[nH]cc(-c3cc(F)c4nccc(N5CCC[C@@H](N)C5)c4c3)c2c1.Cl,10.0,1
CHEMBL4796652,O=C(NCc1ccccc1)c1cnc2[nH]cc(-c3cc(Cl)c4ncccc4c3)c2c1,10.0,1
CHEMBL4796415,CN1CCC(Nc2c(C#N)cnc3ccc(-c4c[nH]c5ncccc45)cc23)CC1,10.0,1
CHEMBL4530280,N#Cc1c(-c2ccccc2)[nH]c2c(I)cccc12,10.0,2
CHEMBL4799177,Cl.N[C@H]1CC[C@H](Nc2c([N+](=O)[O-])cnc3ccc(-c4c[nH]c5ncc(C(=O)NCc6cccnc6)cc45)cc23)CC1,10.0,1
CHEMBL4799100,CC(=O)N1CCC(Nc2c(N)cnc3ccc(-c4c[nH]c5ncccc45)cc23)CC1,10.0,1
CHEMBL4798819,C=CC1CN2CCC1CC2[C@H](O)c1ccnc2ccc(-c3c[nH]c4ncccc34)cc12,10.0,1
CHEMBL4798630,FC(F)(F)Oc1cc(-c2c[nH]c3ncccc23)cc2cccnc12,10.0,1
CHEMBL5089741,Nc1cc(-c2ccc3ncoc3c2)cc(N)n1,10.0,1
CHEMBL5089304,Nc1cc(-c2ccc3ncccc3c2)cc(N)n1,10.0,1
CHEMBL4785328,Cc1cc(-c2c[nH]c3ncccc23)cc2c(-c3cccnc3)ccnc12,10.0,1
CHEMBL4780313,C=CCCCc1ccnc2ccc(-c3c[nH]c4ncc(CN(C)CC=C)cc34)cc12,10.0,1
CHEMBL4780293,CNC(=O)c1cnc2[nH]cc(-c3ccc4nccc(N5CCOCC5)c4c3)c2c1,10.0,1
CHEMBL4779923,N[C@H]1CCCN(c2ccnc3ccc(-c4c[nH]c5ncccc45)cc23)C1,10.0,1
CHEMBL4779484,Fc1cc(-c2c[nH]c3ncccc23)cc2cccnc12,10.0,1
CHEMBL4787210,Cc1cc(-c2c[nH]c3ncccc23)cc2cccnc12.Cl,10.0,1
CHEMBL4780889,C=CCN(C)C(=O)c1cnc2[nH]cc(-c3cc(F)c4nccc(-c5cccnc5)c4c3)c2c1,10.0,1
CHEMBL4788075,CNC(=O)c1cnc2[nH]cc(-c3ccc4nccc(-c5cccnc5)c4c3)c2c1,10.0,1
CHEMBL4787086,CNC(=O)c1cnc2[nH]cc(-c3cc(OC)c4ncccc4c3)c2c1,10.0,1
CHEMBL4786897,COc1cc(-c2c[nH]c3ncc(C(N)=O)cc23)cc2c(-c3cccnc3)ccnc12,10.0,1
CHEMBL4786159,Cl.NCCCNC(=O)c1cnc2[nH]cc(-c3cc(Cl)c4ncccc4c3)c2c1,10.0,1
CHEMBL4787211,O=C(NCc1ccccc1)c1cnc2[nH]cc(-c3cc(F)c4ncccc4c3)c2c1,10.0,1
CHEMBL4785301,c1ccc(-c2ccnc3ccc(-c4c[nH]c5ncccc45)cc23)cc1,10.0,1
CHEMBL4788819,Nc1cnc2ccc(-c3c[nH]c4ncc(C(=O)NCc5cccnc5)cc34)cc2c1,10.0,1
CHEMBL4788717,c1cncc(-c2ccnc3ccc(-c4c[nH]c5ncccc45)cc23)c1,10.0,1
CHEMBL4780461,CNC(=O)c1cnc2[nH]cc(-c3ccc4ncc([N+](=O)[O-])c(N5CCC[C@H](N)C5)c4c3)c2c1.Cl,10.0,1
CHEMBL5962465,CCCNc1cc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,10.0,1
CHEMBL5405572,O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2[nH]ncc2c1,10.0,1
CHEMBL5747252,CNc1cc(Nc2ccc(C(=O)N3CCC(N4CCN(C)CC4)CC3)cc2OC)nc2[nH]cc(C(F)(F)F)c12,10.0,1
