molecule_id,score_kcal_mol,status,reason
DECOY_0145,-7.8932,ok,
DECOY_0146,-5.3622,ok,
DECOY_0147,-8.4017,ok,
DECOY_0148,-6.9896,ok,
DECOY_0149,-5.7426,ok,
DECOY_0150,-5.722,ok,
DECOY_0151,-4.8908,ok,
DECOY_0152,-8.208,ok,
DECOY_0153,-4.8711,ok,
DECOY_0154,-5.2476,ok,
DECOY_0155,-6.8628,ok,
DECOY_0156,-6.8383,ok,
DECOY_0157,-4.4152,ok,
DECOY_0158,-9.0455,ok,
DECOY_0159,-7.3849,ok,
DECOY_0160,-5.6916,ok,
DECOY_0161,-8.4803,ok,
DECOY_0162,-6.2776,ok,
DECOY_0163,-6.9117,ok,
DECOY_0164,-6.0509,ok,
DECOY_0165,-4.4044,ok,
DECOY_0166,-9.4138,ok,
DECOY_0167,-6.0568,ok,
DECOY_0168,-5.4807,ok,
DECOY_0169,-6.6867,ok,
DECOY_0170,-4.8508,ok,
DECOY_0171,-8.9363,ok,
DECOY_0172,-6.9873,ok,
DECOY_0173,-5.1767,ok,
DECOY_0174,-3.86,ok,
DECOY_0175,-8.0284,ok,
DECOY_0176,-5.69,ok,
DECOY_0177,-7.4822,ok,
DECOY_0178,-6.4778,ok,
DECOY_0179,-6.4164,ok,
DECOY_0180,-6.4619,ok,
DECOY_0181,-6.7456,ok,
DECOY_0182,-8.1773,ok,
DECOY_0183,-4.9294,ok,
DECOY_0184,-5.7083,ok,
DECOY_0185,-5.3865,ok,
DECOY_0186,-7.8322,ok,
DECOY_0187,-7.3364,ok,
DECOY_0188,-5.7924,ok,
DECOY_0189,-8.6925,ok,
DECOY_0190,-5.148,ok,
DECOY_0191,-7.0962,ok,
DECOY_0192,-9.1462,ok,
DECOY_0193,-5.2651,ok,
DECOY_0194,-7.0934,ok,
DECOY_0195,-7.4163,ok,
DECOY_0196,-8.7331,ok,
DECOY_0197,-6.0032,ok,
DECOY_0198,-5.2594,ok,
DECOY_0199,-5.7274,ok,
